TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-03 06:16:11,1788416171903,anjnpul1.vercel.app/api/auth/me,GET,,200,r6wbj-1788416171903-e87f13535215,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,33,bom1,376,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYJ7WDEPDAHYRV2X62MK5C,4jBWzTTsyZXI,1,,
2026-09-03 06:15:56,1788416156043,anjnpul1.vercel.app/api/wages/month,GET,month=2026-08,200,zzswf-1788416156043-5d35252ff9c9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,26,bom1,375,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHRCHEN01P22MCBYZQEGQ,4jBWzTTsyZXI,1,,
2026-09-03 06:15:56,1788416156043,anjnpul1.vercel.app/api/wages/cheques,GET,month=2026-08,200,5nrtl-1788416156043-af32ad2da4c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/cheques,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,19,bom1,383,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHRCNAFAWEXAJS47BH6ZC,RDO8xOa5yWXf,1,,
2026-09-03 06:15:52,1788416152675,anjnpul1.vercel.app/api/wages/cheques,GET,month=2026-07,200,r4rth-1788416152675-c36254198f93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/cheques,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,13,bom1,384,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHN3FACZPAQP6HNP3WJXK,RDO8xOa5yWXf,1,,
2026-09-03 06:15:52,1788416152675,anjnpul1.vercel.app/api/wages/month,GET,month=2026-07,200,7764z-1788416152675-519ac3d41104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,49,bom1,374,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHN3BATXHXDPEERF70TDV,4jBWzTTsyZXI,1,,
2026-09-03 06:15:48,1788416148314,anjnpul1.vercel.app/api/wages/month,GET,month=2026-08,200,pppb7-1788416148314-6ee569190b03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,26,bom1,373,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHGV73D54TZADACMAWB3S,4jBWzTTsyZXI,1,,
2026-09-03 06:15:48,1788416148313,anjnpul1.vercel.app/api/wages/cheques,GET,month=2026-08,200,59hwl-1788416148313-eeb662991443,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/cheques,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,32,bom1,384,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHGV6Q4N6KZPMBAVT09Q1,RDO8xOa5yWXf,1,,
2026-09-03 06:15:43,1788416143035,anjnpul1.vercel.app/api/auth/me,GET,,200,jpzds-1788416143035-706b269c2e1e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,36,bom1,385,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHBP2TPAX97Y4ZE2DYYZG,RDO8xOa5yWXf,1,,
2026-09-03 06:15:42,1788416142936,anjnpul1.vercel.app/api/auth/me,GET,,200,n74lm-1788416142936-0838140c2839,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,37,bom1,384,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYHBK6ZFM09Y3VX45V5J53,RDO8xOa5yWXf,1,,
2026-09-03 06:15:33,1788416133114,anjnpul1.vercel.app/api/wages/eligible-employees,POST,,200,zzswf-1788416133114-f86bae8938d6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/eligible-employees,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,81,bom1,381,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYH20EPN8TN197F3YFY5MJ,RDO8xOa5yWXf,1,,
